SalesDate,Category,SoldQty,SpecialEventName,TempLag1,HDD,DaylightHours,TempDeviation,TempRange,TemperatureMeanC,WindSpeedMaxKmh,IsSnowDay,FeelsLikeDiffC,SunshineHours,CloudCoverMeanPct,CDD,WeekendXBadWeather,PrecipitationMm,DaylightHours_x_TempLag1,day_of_week,day_of_month,day_of_year,is_month_start,is_month_end,week_of_year,month_of_year,year,is_weekend,week_of_month,day_of_week_sin,day_of_week_cos,week_of_month_sin,week_of_month_cos,lag_7,lag_14,lag_21,lag_28,lag_90,lag_365,rolling_mean_7,rolling_mean_14,rolling_mean_21,rolling_std_7,rolling_min_7,rolling_max_7,ewm_mean_7,same_dow_mean_4w,same_dow_std_4w,dow_momentum,is_special_event
2023-05-23,Fancies,8.0,Regular Day,17.8,2.6999999999999993,14.566666666666666,-0.8333333333333321,7.6,15.3,16.9,0.0,-1.1999999999999993,14.0,66.0,0.0,0.0,0.0,259.2866666666667,3,23,143,0,0,21,5,2023,0,4,0.43388373911755823,-0.900968867902419,-0.9510565162951536,0.30901699437494723,6.0,9.0,9.0,10.0,,,8.86,8.29,8.57,2.54,5.0,11.0,7.86,8.5,1.7320508075688772,0.7894736837950138,0
2023-05-24,Fancies,4.0,Regular Day,15.3,2.1999999999999993,14.6,-1.3999999999999986,16.400000000000002,15.8,14.5,0.0,2.299999999999997,14.0,28.0,0.0,0.0,0.0,223.38,4,24,144,0,0,21,5,2023,0,4,-0.433883739117558,-0.9009688679024191,-0.9510565162951536,0.30901699437494723,10.0,6.0,7.0,10.0,,,8.43,8.07,8.38,2.37,5.0,11.0,7.89,8.25,2.0615528128088303,0.941176470034602,0
2023-05-25,Fancies,8.0,Regular Day,15.8,2.6999999999999993,14.633333333333333,-2.3333333333333357,8.0,15.3,20.4,0.0,-0.10000000000000142,14.0,16.0,0.0,0.0,0.0,231.20666666666668,5,25,145,0,0,21,5,2023,0,4,-0.9749279121818236,-0.2225209339563146,-0.9510565162951536,0.30901699437494723,5.0,5.0,10.0,8.0,,,8.43,8.29,8.62,2.37,5.0,11.0,8.67,7.0,2.449489742783178,0.5555555552469136,0
2023-05-26,Fancies,7.0,Regular Day,15.3,3.4000000000000004,14.65,-2.8000000000000025,12.799999999999999,14.6,16.3,0.0,-0.09999999999999787,14.0,10.0,0.0,0.0,0.0,224.145,6,26,146,0,0,21,5,2023,0,4,-0.7818314824680299,0.6234898018587334,-0.9510565162951536,0.30901699437494723,8.0,11.0,11.0,12.0,,,8.43,8.21,8.48,2.37,5.0,11.0,8.5,10.5,1.7320508075688772,0.8260869561625709,0
2023-05-27,Fancies,5.0,Regular Day,14.6,2.3000000000000007,14.683333333333334,-2.0666666666666664,15.3,15.7,16.0,0.0,-1.3000000000000007,14.0,76.0,0.0,0.0,0.0,214.37666666666667,7,27,147,0,0,21,5,2023,1,4,-2.4492935982947064e-16,1.0,-0.9510565162951536,0.30901699437494723,11.0,11.0,8.0,6.0,,,8.43,8.57,8.57,2.37,5.0,11.0,9.13,9.0,2.449489742783178,1.5714285703061224,0
2023-05-28,Fancies,8.0,Regular Day,15.7,2.0,14.683333333333334,-0.533333333333335,11.799999999999999,16.0,10.5,0.0,-0.6999999999999993,11.923055555555555,99.0,0.0,0.0,0.0,230.52833333333334,1,28,148,0,0,21,5,2023,1,4,0.7818314824680298,0.6234898018587336,-0.9510565162951536,0.30901699437494723,8.0,8.0,9.0,11.0,,,8.71,8.5,8.52,2.14,5.0,11.0,8.85,9.0,1.4142135623730951,0.7999999996,0
2023-05-29,Fancies,6.0,Memorial Day,16.0,0.1999999999999993,14.716666666666667,-1.2666666666666657,12.299999999999999,17.8,19.9,0.0,1.1000000000000014,13.459444444444445,86.0,0.0,0.0,1.1,235.46666666666667,2,29,149,0,0,22,5,2023,0,5,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,11.0,11.0,6.0,9.0,,,7.86,8.36,8.38,2.67,4.0,11.0,7.63,9.25,2.362907813126304,1.4666666656888887,1
2023-05-30,Fancies,8.0,Regular Day,17.8,1.6000000000000014,14.733333333333333,-2.3000000000000007,7.699999999999999,16.4,19.4,0.0,-1.1000000000000014,13.203611111111112,25.0,0.0,0.0,0.0,262.25333333333333,3,30,150,0,0,22,5,2023,0,5,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,8.0,6.0,9.0,9.0,,,8.29,8.57,8.29,2.36,4.0,11.0,7.73,8.0,1.4142135623730951,0.777777777345679,0
2023-05-31,Fancies,9.0,Regular Day,16.4,2.1999999999999993,14.766666666666667,-1.3666666666666671,14.1,15.8,13.7,0.0,0.8000000000000007,14.0,13.0,0.0,0.0,0.0,242.17333333333332,4,31,151,0,1,22,5,2023,0,5,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,4.0,10.0,6.0,7.0,,,8.14,8.29,8.1,2.41,4.0,11.0,7.54,6.75,2.5,1.0769230760946744,0
2023-06-01,Fancies,9.0,Regular Day,15.8,0.0,14.766666666666667,2.533333333333335,13.499999999999998,19.9,12.3,0.0,2.400000000000002,12.95861111111111,33.0,1.8999999999999986,0.0,0.0,233.31333333333336,5,1,152,1,0,22,6,2023,0,1,-0.9749279121818236,-0.2225209339563146,0.9510565162951535,0.30901699437494745,8.0,5.0,5.0,10.0,,,7.29,7.86,7.95,2.29,4.0,11.0,6.91,7.0,2.449489742783178,0.8666666660888889,0
