SalesDate,Category,SoldQty,SpecialEventName,TempLag1,HDD,DaylightHours,TempDeviation,TempRange,TemperatureMeanC,WindSpeedMaxKmh,IsSnowDay,FeelsLikeDiffC,SunshineHours,CloudCoverMeanPct,CDD,WeekendXBadWeather,PrecipitationMm,DaylightHours_x_TempLag1,day_of_week,day_of_month,day_of_year,is_month_start,is_month_end,week_of_year,month_of_year,year,is_weekend,week_of_month,day_of_week_sin,day_of_week_cos,week_of_month_sin,week_of_month_cos,lag_7,lag_14,lag_21,lag_28,lag_90,lag_365,rolling_mean_7,rolling_mean_14,rolling_mean_21,rolling_std_7,rolling_min_7,rolling_max_7,ewm_mean_7,same_dow_mean_4w,same_dow_std_4w,dow_momentum,is_special_event
2025-01-29,Bagels,47.0,Regular Day,2.6,12.6,10.116666666666667,5.833333333333334,12.7,5.4,31.6,0.0,-6.6,9.779722222222222,18.0,0.0,0.0,0.0,26.303333333333335,4,29,29,0,0,5,1,2025,0,5,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,71.0,41.0,57.0,53.0,,,52.0,52.36,51.48,10.97,39.0,71.0,51.45,55.5,12.36931687685298,1.0181818180892563,0
2025-01-29,Croissants,16.0,Regular Day,2.6,12.6,10.116666666666667,5.833333333333334,12.7,5.4,31.6,0.0,-6.6,9.779722222222222,18.0,0.0,0.0,0.0,26.303333333333335,4,29,29,0,0,5,1,2025,0,5,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,23.0,19.0,33.0,46.0,,,30.43,27.86,29.52,5.56,23.0,39.0,30.29,30.25,12.0381338531629,0.5316455695529563,0
2025-01-30,Bagels,40.0,Regular Day,5.4,16.2,10.15,4.366666666666666,10.2,1.8,24.1,0.0,-4.3,9.794166666666667,27.0,0.0,0.0,0.0,54.81,5,30,30,0,0,5,1,2025,0,5,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,45.0,60.0,46.0,40.0,,,54.14,52.21,52.05,14.05,39.0,76.0,57.58,47.75,8.578072821638514,1.220930232416171,0
2025-01-30,Croissants,21.0,Regular Day,5.4,16.2,10.15,4.366666666666666,10.2,1.8,24.1,0.0,-4.3,9.794166666666667,27.0,0.0,0.0,0.0,54.81,5,30,30,0,0,5,1,2025,0,5,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,26.0,27.0,41.0,30.0,,,32.14,29.0,30.1,8.59,23.0,48.0,34.72,31.0,6.879922480183431,0.7464788731342988,0
2025-01-31,Bagels,48.0,Regular Day,1.8,12.5,10.183333333333334,6.233333333333333,8.7,5.5,19.5,0.0,-2.799999999999999,0.0,100.0,0.0,0.0,5.5,18.330000000000002,6,31,31,0,1,5,1,2025,0,5,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,49.0,54.0,62.0,93.0,,,55.0,53.07,52.43,13.58,39.0,76.0,55.94,64.5,19.739976359323904,0.6645161289893861,0
2025-01-31,Croissants,32.0,Regular Day,1.8,12.5,10.183333333333334,6.233333333333333,8.7,5.5,19.5,0.0,-2.799999999999999,0.0,100.0,0.0,0.0,5.5,18.330000000000002,6,31,31,0,1,5,1,2025,0,5,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,39.0,29.0,33.0,47.0,,,32.0,28.79,30.14,8.68,23.0,48.0,32.79,37.0,7.831560082980487,0.8499999998937501,0
2025-02-01,Bagels,59.0,Regular Day,5.5,12.0,10.216666666666667,6.0,13.3,6.0,26.2,0.0,-2.4000000000000004,9.825,56.0,0.0,1.0,15.6,56.19166666666667,7,1,32,1,0,5,2,2025,1,1,-2.4492935982947064e-16,1.0,0.9510565162951535,0.30901699437494745,76.0,61.0,78.0,64.0,,,53.14,53.07,52.71,14.59,39.0,76.0,52.2,69.75,8.5,0.9647887323264233,0
2025-02-01,Croissants,40.0,Regular Day,5.5,12.0,10.216666666666667,6.0,13.3,6.0,26.2,0.0,-2.4000000000000004,9.825,56.0,0.0,1.0,15.6,56.19166666666667,7,1,32,1,0,5,2,2025,1,1,-2.4492935982947064e-16,1.0,0.9510565162951535,0.30901699437494745,48.0,36.0,32.0,36.0,,,31.43,29.43,30.14,8.89,23.0,48.0,31.34,38.0,6.928203230275509,1.235294117465398,0
2025-02-02,Bagels,56.0,Regular Day,6.0,19.8,10.25,-0.7000000000000002,11.100000000000001,-1.8,16.2,0.0,-5.1000000000000005,5.229722222222223,53.0,0.0,0.0,0.0,61.5,1,2,33,0,0,5,2,2025,1,1,0.7818314824680298,0.6234898018587336,0.9510565162951535,0.30901699437494745,51.0,45.0,39.0,43.0,,,53.57,52.07,52.76,14.14,41.0,76.0,49.65,44.5,5.0,1.170731707174301,0
2025-02-02,Croissants,40.0,Regular Day,6.0,19.8,10.25,-0.7000000000000002,11.100000000000001,-1.8,16.2,0.0,-5.1000000000000005,5.229722222222223,53.0,0.0,0.0,0.0,61.5,1,2,33,0,0,5,2,2025,1,1,0.7818314824680298,0.6234898018587336,0.9510565162951535,0.30901699437494745,27.0,28.0,30.0,26.0,,,29.86,29.21,29.43,10.07,19.0,48.0,28.26,27.75,1.707825127659933,0.9821428569674745,0
2025-02-03,Bagels,47.0,Regular Day,-1.8,14.1,10.3,2.8666666666666663,12.1,3.9,13.8,0.0,-3.1999999999999993,9.858055555555556,87.0,0.0,0.0,0.0,-18.540000000000003,2,3,34,0,0,6,2,2025,0,1,0.9749279121818236,-0.22252093395631434,0.9510565162951535,0.30901699437494745,41.0,54.0,41.0,35.0,,,50.14,52.5,52.29,11.95,41.0,76.0,48.99,42.75,8.0156097709407,1.2499999998355265,0
2025-02-03,Croissants,15.0,Regular Day,-1.8,14.1,10.3,2.8666666666666663,12.1,3.9,13.8,0.0,-3.1999999999999993,9.858055555555556,87.0,0.0,0.0,0.0,-18.540000000000003,2,3,34,0,0,6,2,2025,0,1,0.9749279121818236,-0.22252093395631434,0.9510565162951535,0.30901699437494745,27.0,31.0,18.0,27.0,,,28.86,29.0,28.62,11.16,16.0,48.0,25.19,25.75,5.5,1.2888888886024692,0
2025-02-04,Bagels,50.0,Regular Day,3.9,10.9,10.333333333333334,4.666666666666666,7.2,7.1,24.2,0.0,-4.4,8.495277777777778,54.0,0.0,0.0,0.0,40.300000000000004,3,4,35,0,0,6,2,2025,0,1,0.43388373911755823,-0.900968867902419,0.9510565162951535,0.30901699437494745,42.0,39.0,56.0,41.0,,,49.43,51.07,52.0,12.45,40.0,76.0,46.74,44.5,7.767453465154029,0.8350515463056648,0
2025-02-04,Croissants,16.0,Regular Day,3.9,10.9,10.333333333333334,4.666666666666666,7.2,7.1,24.2,0.0,-4.4,8.495277777777778,54.0,0.0,0.0,0.0,40.300000000000004,3,4,35,0,0,6,2,2025,0,1,0.43388373911755823,-0.900968867902419,0.9510565162951535,0.30901699437494745,19.0,30.0,22.0,34.0,,,28.14,28.57,27.67,11.52,16.0,48.0,24.14,26.25,6.946221994724902,0.87499999984375,0
2025-02-05,Croissants,49.0,Regular Day,7.1,18.3,10.366666666666667,1.0,4.4,-0.3,14.9,0.0,-3.9,1.023611111111111,79.0,0.0,0.0,0.0,73.60333333333334,4,5,36,0,0,6,2,2025,0,1,-0.433883739117558,-0.9009688679024191,0.9510565162951535,0.30901699437494745,16.0,23.0,19.0,33.0,,,27.14,28.79,27.62,10.7,16.0,48.0,26.11,22.75,7.41057802513857,0.7499999998557693,0
2025-02-05,Bagels,80.0,Regular Day,7.1,18.3,10.366666666666667,1.0,4.4,-0.3,14.9,0.0,-3.9,1.023611111111111,79.0,0.0,0.0,0.0,73.60333333333334,4,5,36,0,0,6,2,2025,0,1,-0.433883739117558,-0.9009688679024191,0.9510565162951535,0.30901699437494745,47.0,71.0,41.0,57.0,,,49.29,50.64,51.33,12.46,40.0,76.0,47.06,54.0,13.114877048604,1.2040816325301957,0
2025-02-06,Croissants,47.0,Regular Day,-0.3,15.1,10.4,3.6666666666666665,8.0,2.9,20.0,1.0,-3.4000000000000004,2.5316666666666667,92.0,0.0,0.0,11.5,-3.12,5,6,37,0,0,6,2,2025,0,1,-0.9749279121818236,-0.2225209339563146,0.9510565162951535,0.30901699437494745,21.0,26.0,27.0,41.0,,,26.0,29.07,28.0,8.25,16.0,40.0,29.58,28.75,8.578072821638514,0.6911764704865918,0
2025-02-06,Bagels,48.0,Regular Day,-0.3,15.1,10.4,3.6666666666666665,8.0,2.9,20.0,1.0,-3.4000000000000004,2.5316666666666667,92.0,0.0,0.0,11.5,-3.12,5,6,37,0,0,6,2,2025,0,1,-0.9749279121818236,-0.2225209339563146,0.9510565162951535,0.30901699437494745,40.0,45.0,60.0,46.0,,,46.86,50.5,50.43,6.72,40.0,59.0,50.04,47.75,8.578072821638514,0.8018867923771805,0
2025-02-07,Croissants,54.0,Regular Day,2.9,12.8,10.433333333333334,5.266666666666667,6.9,5.2,27.2,0.0,-5.1000000000000005,9.928888888888888,70.0,0.0,0.0,1.2,30.256666666666668,6,7,38,0,0,6,2,2025,0,1,-0.7818314824680299,0.6234898018587334,0.9510565162951535,0.30901699437494745,32.0,39.0,29.0,33.0,,,27.86,29.93,28.48,9.82,16.0,40.0,32.19,33.25,4.193248541803041,1.1451612901378772,0
2025-02-07,Bagels,62.0,Regular Day,2.9,12.8,10.433333333333334,5.266666666666667,6.9,5.2,27.2,0.0,-5.1000000000000005,9.928888888888888,70.0,0.0,0.0,1.2,30.256666666666668,6,7,38,0,0,6,2,2025,0,1,-0.7818314824680299,0.6234898018587334,0.9510565162951535,0.30901699437494745,48.0,49.0,54.0,62.0,,,47.57,51.29,51.24,7.46,40.0,59.0,51.53,53.25,6.3966136874651625,0.8362068964796374,0
2025-02-08,Croissants,34.0,Regular Day,5.2,19.1,10.483333333333333,2.4,6.0,-1.1,12.1,1.0,-4.1,2.4680555555555554,80.0,0.0,0.0,1.6,54.51333333333333,7,8,39,0,0,6,2,2025,1,2,-2.4492935982947064e-16,1.0,0.5877852522924732,-0.8090169943749473,40.0,48.0,36.0,32.0,,,26.14,28.79,28.33,10.98,15.0,40.0,27.89,39.0,6.831300510639732,1.2941176468685123,0
2025-02-08,Bagels,65.0,Regular Day,5.2,19.1,10.483333333333333,2.4,6.0,-1.1,12.1,1.0,-4.1,2.4680555555555554,80.0,0.0,0.0,1.6,54.51333333333333,7,8,39,0,0,6,2,2025,1,2,-2.4492935982947064e-16,1.0,0.5877852522924732,-0.8090169943749473,59.0,76.0,61.0,78.0,,,48.43,50.79,51.52,6.9,40.0,59.0,50.4,68.5,9.882644720249063,0.9712230215128616,0
2025-02-09,Bagels,67.0,Regular Day,-1.1,15.3,10.516666666666667,2.6000000000000005,7.1000000000000005,2.7,24.8,0.0,-6.0,6.468333333333334,85.0,0.0,1.0,3.9,-11.568333333333335,1,9,40,0,0,6,2,2025,1,2,0.7818314824680298,0.6234898018587336,0.5877852522924732,-0.8090169943749473,56.0,51.0,45.0,39.0,,,49.57,51.57,51.24,6.29,40.0,59.0,50.3,47.75,7.365459931328117,1.27380952365788,0
2025-02-09,Croissants,41.0,Regular Day,-1.1,15.3,10.516666666666667,2.6000000000000005,7.1000000000000005,2.7,24.8,0.0,-6.0,6.468333333333334,85.0,0.0,1.0,3.9,-11.568333333333335,1,9,40,0,0,6,2,2025,1,2,0.7818314824680298,0.6234898018587336,0.5877852522924732,-0.8090169943749473,40.0,27.0,28.0,30.0,,,25.71,27.79,28.05,11.35,15.0,40.0,24.92,31.25,5.9651767227244274,1.1551724135939359,0
2025-02-10,Bagels,41.0,Regular Day,2.7,16.6,10.55,-0.9000000000000004,8.1,1.4,14.0,0.0,-5.2,9.985,68.0,0.0,0.0,0.0,28.485000000000003,2,10,41,0,0,7,2,2025,0,2,0.9749279121818236,-0.22252093395631434,0.5877852522924732,-0.8090169943749473,47.0,41.0,54.0,41.0,,,54.29,52.21,53.1,12.92,40.0,80.0,57.72,45.75,6.18465843842649,0.9263157893761773,0
2025-02-10,Croissants,41.0,Regular Day,2.7,16.6,10.55,-0.9000000000000004,8.1,1.4,14.0,0.0,-5.2,9.985,68.0,0.0,0.0,0.0,28.485000000000003,2,10,41,0,0,7,2,2025,0,2,0.9749279121818236,-0.22252093395631434,0.5877852522924732,-0.8090169943749473,15.0,27.0,31.0,18.0,,,30.43,29.64,29.48,13.33,15.0,49.0,30.94,22.75,7.5,0.85714285696793,0
2025-02-11,Bagels,41.0,Regular Day,1.4,18.7,10.6,-4.800000000000001,8.2,-0.7,10.4,1.0,-4.4,2.9458333333333333,80.0,0.0,0.0,0.5,14.839999999999998,3,11,42,0,0,7,2,2025,0,2,0.43388373911755823,-0.900968867902419,0.5877852522924732,-0.8090169943749473,50.0,42.0,39.0,56.0,,,55.43,52.43,52.52,11.75,47.0,80.0,55.29,46.75,7.7190241179396075,0.96842105252964,0
2025-02-11,Croissants,43.0,Regular Day,1.4,18.7,10.6,-4.800000000000001,8.2,-0.7,10.4,1.0,-4.4,2.9458333333333333,80.0,0.0,0.0,0.5,14.839999999999998,3,11,42,0,0,7,2,2025,0,2,0.43388373911755823,-0.900968867902419,0.5877852522924732,-0.8090169943749473,16.0,19.0,30.0,22.0,,,34.14,31.14,30.43,13.87,15.0,49.0,34.95,21.75,6.020797289396148,0.6730769229474852,0
